alias,sku_code,score_boost
modular,MSB4M,0.4
modular,MSB6M,0.4
modular,MSB8M,0.4
modular,MSB12M,0.4
switch box,MSB1M,0.4
switch box,MSB2M,0.4
switch box,MSB3M,0.4
switch box,MSB4M,0.4
switch box,MSB6M,0.4
switch box,MSB8M,0.4
switch box,MSB12M,0.4
1m,MSB1M,0.5
2m,MSB2M,0.5
3m,MSB3M,0.5
4m,MSB4M,0.5
6m,MSB6M,0.5
8m,MSB8M,0.5
12m,MSB12M,0.5
# Cable Gland aliases
cable gland,PG7,0.5
cable gland,PG9,0.5
cable gland,PG11,0.5
cable gland,PG13.5,0.5
cable gland,PG16,0.5
cable gland,PG21,0.5
gland,PG7,0.4
gland,PG9,0.4
gland,PG11,0.4
gland,PG13.5,0.4
gland,PG16,0.4
gland,PG21,0.4
pg7,PG7,0.6
pg9,PG9,0.6
pg11,PG11,0.6
pg13.5,PG13.5,0.6
pg16,PG16,0.6
pg21,PG21,0.6
nylon,PG7,0.3
nylon,PG9,0.3
nylon,PG11,0.3
nylon,PG13.5,0.3
nylon,PG16,0.3
nylon,PG21,0.3
# Cable Tie aliases
cable tie,CT100x2.5,0.5
cable tie,CT150x3.6,0.5
cable tie,CT200x4.8,0.5
cable tie,CT300x4.8,0.5
cable ties,CT100x2.5,0.5
cable ties,CT150x3.6,0.5
cable ties,CT200x4.8,0.5
cable ties,CT300x4.8,0.5
tie,CT100x2.5,0.4
tie,CT150x3.6,0.4
tie,CT200x4.8,0.4
tie,CT300x4.8,0.4
ties,CT100x2.5,0.4
ties,CT150x3.6,0.4
ties,CT200x4.8,0.4
ties,CT300x4.8,0.4
100x2.5,CT100x2.5,0.6
150x3.6,CT150x3.6,0.6
200x4.8,CT200x4.8,0.6
300x4.8,CT300x4.8,0.6
# Junction Box aliases
junction box,JB4x4x2,0.5
junction box,JB6x6x2,0.5
junction,JB4x4x2,0.4
junction,JB6x6x2,0.4
gi junction,JB4x4x2,0.5
gi junction,JB6x6x2,0.5
4x4x2,JB4x4x2,0.6
6x6x2,JB6x6x2,0.6
4x4,JB4x4x2,0.5
6x6,JB6x6x2,0.5
# Accessories aliases
saddle clamp,SC20,0.5
saddle,SC20,0.4
clamp,SC20,0.4
20mm,SC20,0.4
# Color aliases
black,NFC16,0.1
black,NFC20,0.1
black,NFC25,0.1
black,NFC32,0.1
black,NFC40,0.1
black,NFC50,0.1
black,PG7,0.2
black,PG9,0.2
black,PG11,0.2
black,PG13.5,0.2
black,PG16,0.2
black,PG21,0.2
grey,NFC16,0.1
grey,NFC20,0.1
grey,NFC25,0.1
grey,NFC32,0.1
grey,NFC40,0.1
grey,NFC50,0.1
gray,NFC16,0.1
gray,NFC20,0.1
gray,NFC25,0.1
gray,NFC32,0.1
gray,NFC40,0.1
gray,NFC50,0.1
ivory,NFC16,0.1
ivory,NFC20,0.1
ivory,NFC25,0.1
ivory,NFC32,0.1
ivory,NFC40,0.1
ivory,NFC50,0.1
natural,CT100x2.5,0.2
natural,CT150x3.6,0.2
natural,CT200x4.8,0.2
natural,CT300x4.8,0.2
# Pack size aliases
pack,CT100x2.5,0.2
pack,CT150x3.6,0.2
pack,CT200x4.8,0.2
pack,CT300x4.8,0.2
pack,SC20,0.2
pack100,CT100x2.5,0.3
pack100,CT150x3.6,0.3
pack100,CT200x4.8,0.3
pack100,CT300x4.8,0.3
pack100,SC20,0.3
packs,CT100x2.5,0.2
packs,CT150x3.6,0.2
packs,CT200x4.8,0.2
packs,CT300x4.8,0.2
packs,SC20,0.2
